what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336497984133
started,bundle,com.adobe.flexbuilder.services.J2EEService,4.6.1.335153,"com.adobe.flexbuilder.services.J2EEService",1336497989698
executed,command,com.adobe.flexbuilder.dcrad,4.6.1.335153,"com.adobe.flexbuilder.dcrad.ValidateDCDServices",1336497989748
executed,command,com.adobe.flexbuilder.dcrad,4.6.1.335153,"com.adobe.flexbuilder.dcrad.ValidateDCDServices",1336497989751
executed,command,com.adobe.flexbuilder.dcrad,4.6.1.335153,"com.adobe.flexbuilder.dcrad.ValidateDCDServices",1336497989756
executed,command,com.adobe.flexbuilder.dcrad,4.6.1.335153,"com.adobe.flexbuilder.dcrad.ValidateDCDServices",1336497989758
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1336498023838
executed,command,com.adobe.flexbuilder.dcrad,4.6.1.335153,"com.adobe.flexbuilder.dcrad.ValidateDCDServices",1336498029366
started,bundle,com.adobe.flexbuilder.services.BlazeDSService,4.6.1.335153,"com.adobe.flexbuilder.services.BlazeDSService",1336498032948
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336498034051
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.properties",1336498034068
activated,editor,com.adobe.flexbuilder.project.ui,4.6.1.335153,"com.adobe.flexbuilder.ui.StartPage",1336498041171
activated,view,com.adobe.flexbuilder.as.editor,4.6.1.335153,"com.adobe.flexbuilder.packageexplorer",1336498041248
closed,editor,com.adobe.flexbuilder.project.ui,4.6.1.335153,"com.adobe.flexbuilder.ui.StartPage",1336498041255
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1336498043576
started,bundle,com.adobe.flexide.mxml.core,4.6.1.335153,"com.adobe.flexide.mxml.core",1336498045838
started,bundle,com.adobe.flexide.externaleditors,4.6.1.335153,"com.adobe.flexide.externaleditors",1336498046088
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336498046652
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336498063593
started,bundle,com.adobe.flexide.css.core,4.6.1.335153,"com.adobe.flexide.css.core",1336498063622
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1336498075164
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1336498081128
started,bundle,com.adobe.flexbuilder.crimson,4.6.1.335153,"com.adobe.flexbuilder.crimson",1336498082082
started,bundle,com.adobe.flexide.playerview,4.6.1.335153,"com.adobe.flexide.playerview",1336498083261
started,bundle,com.adobe.flexbuilder.designview,4.6.1.335153,"com.adobe.flexbuilder.designview",1336498083348
started,bundle,com.adobe.flexide.designitems,4.6.1.335153,"com.adobe.flexide.designitems",1336498083537
opened,editor,com.adobe.flexbuilder.mxml.editor,4.6.1.335153,"com.adobe.flexbuilder.editors.mxml.MXMLEditor",1336498085978
activated,editor,com.adobe.flexbuilder.mxml.editor,4.6.1.335153,"com.adobe.flexbuilder.editors.mxml.MXMLEditor",1336498087437
activated,view,com.adobe.flexbuilder.as.editor,4.6.1.335153,"com.adobe.flexbuilder.packageexplorer",1336498087596
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1336498088237
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1336498088249
activated,editor,com.adobe.flexbuilder.mxml.editor,4.6.1.335153,"com.adobe.flexbuilder.editors.mxml.MXMLEditor",1336498088284
started,bundle,com.adobe.flexide.embeddedplayer,4.6.1.335153,"com.adobe.flexide.embeddedplayer",1336498088679
executed,command,com.adobe.flexbuilder.dcrad,4.6.1.335153,"com.adobe.flexbuilder.dcrad.ValidateDCDServices",1336498100408
executed,command,com.adobe.flexbuilder.dcrad,4.6.1.335153,"com.adobe.flexbuilder.dcrad.ValidateDCDServices",1336498100413
executed,command,com.adobe.flexbuilder.dcrad,4.6.1.335153,"com.adobe.flexbuilder.dcrad.ValidateDCDServices",1336498100417
executed,command,com.adobe.flexbuilder.dcrad,4.6.1.335153,"com.adobe.flexbuilder.dcrad.ValidateDCDServices",1336498100419
executed,command,com.adobe.flexbuilder.dcrad,4.6.1.335153,"com.adobe.flexbuilder.dcrad.ValidateDCDServices",1336498100442
executed,command,com.adobe.flexbuilder.dcrad,4.6.1.335153,"com.adobe.flexbuilder.dcrad.ValidateDCDServices",1336498100447
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336498100519
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336498110145
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.properties",1336498110160
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336498130375
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336498131388
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336498131808
